Group,Sex,Age_Group,Metric,Bracket,N_Test,N_Ref,Test_Mean,Ref_Mean,Observed_Delta,Bootstrap_Mean_Delta,CI_95_Lower,CI_95_Upper,Contains_Zero,p_value,Plot_Path
Japanese,Female,40-90,BAG,40a,187,9493,3.377495193717641,0.014204262004634986,3.363290931713006,3.358509077166233,2.7370806818050846,3.9892144229354587,False,0.0,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Japanese/Japanese_Female_40-90_BAG_bootstrap_histogram.png
Japanese,Female,40-90,MAE,40a,187,9493,4.5620768698629055,3.083662273838618,1.4784145960242876,1.477752397380567,1.036226058233495,1.9331194609079885,False,0.0,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Japanese/Japanese_Female_40-90_MAE_bootstrap_histogram.png
Japanese,Female,5-40,BAG,40bi,216,8505,-1.1770276397723825,-0.008381465306172826,-1.1686461744662096,-1.1686640248331095,-1.5750432550983082,-0.7562095061258663,False,0.0,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Japanese/Japanese_Female_5-40_BAG_bootstrap_histogram.png
Japanese,Female,5-40,MAE,40bi,216,8505,2.5509903048576636,1.4480463025786008,1.1029440022790629,1.101804871481319,0.8423922089903794,1.3785872738442901,False,0.0,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Japanese/Japanese_Female_5-40_MAE_bootstrap_histogram.png
Japanese,Male,40-90,BAG,40a,128,7788,3.2392280393425645,-0.00856909801617877,3.2477971373587433,3.252996891574568,2.485047760348707,4.036130646065244,False,0.0,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Japanese/Japanese_Male_40-90_BAG_bootstrap_histogram.png
Japanese,Male,40-90,MAE,40a,128,7788,4.367684813770984,3.229780626449666,1.1379041873213178,1.141567059239979,0.5807364994153146,1.728591292625812,False,0.0,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Japanese/Japanese_Male_40-90_MAE_bootstrap_histogram.png
Japanese,Male,5-40,BAG,40bi,389,7541,-0.7710055069016482,-0.003283886222118988,-0.7677216206795292,-0.7673994592642533,-1.1088795026919582,-0.4288212708313266,False,0.0,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Japanese/Japanese_Male_5-40_BAG_bootstrap_histogram.png
Japanese,Male,5-40,MAE,40bi,389,7541,2.8147303570724307,1.4961591848305265,1.3185711722419042,1.3165840625072713,1.1084991670773376,1.5273088570404605,False,0.0,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Japanese/Japanese_Male_5-40_MAE_bootstrap_histogram.png
Mexican,Female,40-90,BAG,40a,31,9493,6.252526153938822,0.014204262004634986,6.238321891934187,6.237773240056862,4.829389381590799,7.621281685837251,False,0.0,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Mexican/Mexican_Female_40-90_BAG_bootstrap_histogram.png
Mexican,Female,40-90,MAE,40a,31,9493,6.497673760343709,3.083662273838618,3.414011486505091,3.4166580199723766,2.2188887331717373,4.669552822868007,False,0.0,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Mexican/Mexican_Female_40-90_MAE_bootstrap_histogram.png
Mexican,Female,5-40,BAG,40bi,106,8505,-0.9768102392205783,-0.008381465306172826,-0.9684287739144055,-0.9625468543506126,-1.6373294100216977,-0.3044856828464997,False,0.0036,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Mexican/Mexican_Female_5-40_BAG_bootstrap_histogram.png
Mexican,Female,5-40,MAE,40bi,106,8505,2.8762208728154257,1.4480463025786008,1.428174570236825,1.42987384869599,1.0296317298353599,1.865079136816632,False,0.0,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Mexican/Mexican_Female_5-40_MAE_bootstrap_histogram.png
Mexican,Male,40-90,BAG,40a,13,7788,-0.903863382798942,-0.00856909801617877,-0.8952942847827632,-0.9012304898640817,-2.9173623774534225,1.4710294194362261,True,0.405,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Mexican/Mexican_Male_40-90_BAG_bootstrap_histogram.png
Mexican,Male,40-90,MAE,40a,13,7788,3.2325789821106317,3.229780626449666,0.0027983556609658677,0.013067031211747659,-1.2353711985817277,1.545591397212462,True,0.9644,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Mexican/Mexican_Male_40-90_MAE_bootstrap_histogram.png
Mexican,Male,5-40,BAG,40bi,164,7541,-1.6351542319329266,-0.003283886222118988,-1.6318703457108077,-1.6344419373424448,-2.2142927855972476,-1.069837984971053,False,0.0,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Mexican/Mexican_Male_5-40_BAG_bootstrap_histogram.png
Mexican,Male,5-40,MAE,40bi,164,7541,3.3427571194085366,1.4961591848305265,1.8465979345780101,1.844078029976633,1.482959549207941,2.2054725506033104,False,0.0,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Mexican/Mexican_Male_5-40_MAE_bootstrap_histogram.png
South Asian,Female,40-90,BAG,40a,144,9493,2.0006319047892145,0.014204262004634986,1.9864276427845795,1.9825774041808963,1.3199820797125874,2.6400765245085864,False,0.0,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/South Asian/South Asian_Female_40-90_BAG_bootstrap_histogram.png
South Asian,Female,40-90,MAE,40a,144,9493,3.618056092100486,3.083662273838618,0.5343938182618682,0.5332158187383979,0.08570897572304875,0.9854932468507495,False,0.0188,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/South Asian/South Asian_Female_40-90_MAE_bootstrap_histogram.png
South Asian,Female,5-40,BAG,40bi,16,8505,-0.31817520919992465,-0.008381465306172826,-0.3097937438937518,-0.3155596400248057,-1.675941685864466,1.1028712174343367,True,0.6452,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/South Asian/South Asian_Female_5-40_BAG_bootstrap_histogram.png
South Asian,Female,5-40,MAE,40bi,16,8505,2.1775303822644645,1.4480463025786008,0.7294840796858637,0.7296639686264793,-0.14619035144880727,1.7162874226266305,True,0.1144,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/South Asian/South Asian_Female_5-40_MAE_bootstrap_histogram.png
South Asian,Male,40-90,BAG,40a,238,7788,2.4648364625328756,-0.00856909801617877,2.4734055605490544,2.469887470819128,1.9358940304138748,3.011574162593468,False,0.0,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/South Asian/South Asian_Male_40-90_BAG_bootstrap_histogram.png
South Asian,Male,40-90,MAE,40a,238,7788,3.924168775186589,3.229780626449666,0.6943881487369232,0.6909638502800186,0.31023956172732603,1.063044013756986,False,0.0,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/South Asian/South Asian_Male_40-90_MAE_bootstrap_histogram.png
South Asian,Male,5-40,BAG,40bi,21,7541,0.06202825830603671,-0.003283886222118988,0.0653121445281557,0.06886499286243598,-1.558333738121577,1.5921513196280823,True,0.9208,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/South Asian/South Asian_Male_5-40_BAG_bootstrap_histogram.png
South Asian,Male,5-40,MAE,40bi,21,7541,2.707086686322044,1.4961591848305265,1.2109275014915175,1.204265144501429,0.23634088127867145,2.3179343852783814,False,0.0116,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/South Asian/South Asian_Male_5-40_MAE_bootstrap_histogram.png
Turkish,Female,5-40,BAG,40bi,268,8505,-0.46775167611402624,-0.008381465306172826,-0.4593702108078534,-0.4534907770200782,-0.8192491468985933,-0.0879646651594865,False,0.0158,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Turkish/Turkish_Female_5-40_BAG_bootstrap_histogram.png
Turkish,Female,5-40,MAE,40bi,268,8505,2.414725820022386,1.4480463025786008,0.966679517443785,0.9670201326539822,0.7498352702621187,1.1974902922238106,False,0.0,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Turkish/Turkish_Female_5-40_MAE_bootstrap_histogram.png
Turkish,Male,5-40,BAG,40bi,154,7541,-0.24714756709446986,-0.003283886222118988,-0.24386368087235089,-0.24330440059102038,-0.7756787191848432,0.2870909225226589,True,0.3714,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Turkish/Turkish_Male_5-40_BAG_bootstrap_histogram.png
Turkish,Male,5-40,MAE,40bi,154,7541,2.7091679439822633,1.4961591848305265,1.213008759151737,1.2122430657386685,0.8948096606652448,1.5409689758695118,False,0.0,/Users/andrewli/Documents/Frangou Lab/BrainAGE/CentileBrain_BrainAGE/analyses/brainage_gap/outputs/bootstrap/Plots/Turkish/Turkish_Male_5-40_MAE_bootstrap_histogram.png
