Group,Sex,Age_Group,Data,Fit_Mode,Segment_Years,Segment_Start,Segment_End,N,Slope,Intercept,r
South Asian,Male,40-90,Training,independent_segment,5,60.0,65.0,1450,-0.3801633579024638,23.400850856355106,-0.13747754765824258
South Asian,Male,40-90,Training,independent_segment,5,65.0,70.0,1421,-0.3458594252172087,21.182337187959103,-0.12558833025829866
South Asian,Male,40-90,Training,independent_segment,5,70.0,75.0,1137,-0.2708123529367388,16.014116568707397,-0.09181591603061112
South Asian,Male,40-90,Training,independent_segment,5,75.0,80.0,489,-0.204829144113932,10.950385327150073,-0.07210159748199903
South Asian,Male,40-90,Training,independent_segment,5,80.0,85.0,146,-0.39307558156015054,26.83254112429386,-0.14345698346594773
South Asian,Male,40-90,Training,independent_segment,5,85.0,90.0,40,-0.2973287507523294,17.377660253804684,-0.10068280395927684
South Asian,Male,40-90,Observed,linear,all,44.0,79.0,238,-0.4985387607012687,33.46482295395721,-0.7148588829043457
South Asian,Male,40-90,Observed,independent_segment,5,40.0,45.0,2,,,
South Asian,Male,40-90,Observed,independent_segment,5,45.0,50.0,19,-0.7250609433154076,45.02170052641178,-0.24499779813933897
South Asian,Male,40-90,Observed,independent_segment,5,50.0,55.0,55,-0.4685660578261714,32.60495104610278,-0.1464055110652808
South Asian,Male,40-90,Observed,independent_segment,5,55.0,60.0,39,-0.7032152625498332,43.14566491135516,-0.2492213142976491
South Asian,Male,40-90,Observed,independent_segment,5,60.0,65.0,44,-1.2879389586543786,82.00917325502579,-0.34756455216572946
South Asian,Male,40-90,Observed,independent_segment,5,65.0,70.0,40,0.10238704723831243,-6.344100125812238,0.041118147757629835
South Asian,Male,40-90,Observed,independent_segment,5,70.0,75.0,18,-1.4145846099073516,98.46834160471468,-0.44706756250634205
South Asian,Male,40-90,Observed,independent_segment,5,75.0,80.0,21,-1.1878066991118144,87.33180282803532,-0.38177253959624197
South Asian,Female,5-40,Training,linear,all,5.096851,40.0,8505,-0.11897545995372472,1.990837169450789,-0.47670024280999745
South Asian,Female,5-40,Training,independent_segment,10,5.0,15.0,3731,-0.01504818503963301,0.47272196292540625,-0.034641410381515116
South Asian,Female,5-40,Training,independent_segment,10,15.0,25.0,3163,-0.12407410001902673,2.7304429490893383,-0.22172142227758307
South Asian,Female,5-40,Training,independent_segment,10,25.0,35.0,1383,-0.23752076034130634,5.490236109946775,-0.29786245743480694
South Asian,Female,5-40,Training,independent_segment,10,35.0,40.0,228,-1.1866903145416166,37.72195481413718,-0.508677225806079
South Asian,Female,5-40,Observed,linear,all,20.0,39.0,16,-0.6871972506290674,15.830596485309353,-0.8764287086627591
South Asian,Female,5-40,Observed,independent_segment,10,15.0,25.0,5,0.9608566863104078,-18.386664609731483,0.3120540538592737
South Asian,Female,5-40,Observed,independent_segment,10,25.0,35.0,5,-1.4640922615853025,36.83657271013071,-0.7769389419048691
South Asian,Female,5-40,Observed,independent_segment,10,35.0,40.0,6,0.17027319309503997,-15.486027665440178,0.09399207791467654
South Asian,Female,40-90,Training,linear,all,40.08,89.83333333,9493,-0.3845357471593385,24.048446436482173,-0.6544725433265826
South Asian,Female,40-90,Training,independent_segment,10,40.0,50.0,551,-0.3876964540656171,25.681644886313038,-0.2068587011668621
South Asian,Female,40-90,Training,independent_segment,10,50.0,60.0,3253,-0.5340977135772745,32.20189858209259,-0.3773640019776665
South Asian,Female,40-90,Training,independent_segment,10,60.0,70.0,3715,-0.379917263766337,23.308698301546077,-0.290178041309407
South Asian,Female,40-90,Training,independent_segment,10,70.0,80.0,1768,-0.21121389812050867,11.637898206812102,-0.14000628807022844
South Asian,Female,40-90,Training,independent_segment,10,80.0,90.0,206,-0.12281859036874318,4.909334026375591,-0.07142052068914082
South Asian,Female,40-90,Observed,linear,all,42.0,77.0,144,-0.6185433593269415,40.238142422237544,-0.7727886898356165
South Asian,Female,40-90,Observed,independent_segment,10,40.0,50.0,11,-0.8196298796094394,51.99422769188688,-0.34430288290034083
South Asian,Female,40-90,Observed,independent_segment,10,50.0,60.0,63,-0.7069781126554505,44.683967789884704,-0.5210139153686721
South Asian,Female,40-90,Observed,independent_segment,10,60.0,70.0,50,-0.7896919645474896,50.46398957818845,-0.516624471462013
South Asian,Female,40-90,Observed,independent_segment,10,70.0,80.0,20,-0.4203440097764767,27.644370756559262,-0.22744056358611256
South Asian,Male,5-40,Training,linear,all,5.016997,40.0,7541,-0.12116577593919742,1.9628249441094614,-0.49142152883042595
South Asian,Male,5-40,Training,independent_segment,10,5.0,15.0,3753,-0.04034499790282227,0.7479363704668811,-0.08841234185658953
South Asian,Male,5-40,Training,independent_segment,10,15.0,25.0,2384,-0.07322253404810043,1.6899585466660558,-0.140105473654143
South Asian,Male,5-40,Training,independent_segment,10,25.0,35.0,1186,-0.29550288029638955,7.127158867476023,-0.3556407171215115
South Asian,Male,5-40,Training,independent_segment,10,35.0,40.0,218,-1.013895115426924,31.89847323079066,-0.4198570762913709
South Asian,Male,5-40,Observed,linear,all,19.0,39.0,21,-0.47486455710994446,10.328117868809136,-0.549164417123936
South Asian,Male,5-40,Observed,independent_segment,10,15.0,25.0,6,0.754854526421527,-15.901531577653108,0.7563402887430979
South Asian,Male,5-40,Observed,independent_segment,10,25.0,35.0,13,-0.2872131622228472,4.579978483674864,-0.1898648069354115
South Asian,Male,5-40,Observed,independent_segment,10,35.0,40.0,2,0.14773957885195,-13.659256755534148,1.0
South Asian,Male,40-90,Training,linear,all,40.08,90.0,7788,-0.36475042810041053,22.758143917659865,-0.6375979476861666
South Asian,Male,40-90,Training,independent_segment,10,40.0,50.0,571,-0.36703897025745474,23.28147490079762,-0.20176644009777275
South Asian,Male,40-90,Training,independent_segment,10,50.0,60.0,2534,-0.4623268003160103,28.16365734113422,-0.3175372199672453
South Asian,Male,40-90,Training,independent_segment,10,60.0,70.0,2871,-0.3640033600207764,22.398401986182872,-0.2624369502505093
South Asian,Male,40-90,Training,independent_segment,10,70.0,80.0,1626,-0.2655855438052066,15.630057854999583,-0.17122582185547588
South Asian,Male,40-90,Training,independent_segment,10,80.0,90.0,186,-0.5288047108857035,37.82724934295733,-0.311467045432036
South Asian,Male,40-90,Observed,linear,all,44.0,79.0,238,-0.4985387607012687,33.46482295395721,-0.7148588829043457
South Asian,Male,40-90,Observed,independent_segment,10,40.0,50.0,21,-0.6482974125260335,41.319651314876225,-0.30933843014396234
South Asian,Male,40-90,Observed,independent_segment,10,50.0,60.0,94,-0.9240337889004778,56.00548629468275,-0.5325813633155693
South Asian,Male,40-90,Observed,independent_segment,10,60.0,70.0,84,-0.4355751850409158,29.55869522939861,-0.2874583488670321
South Asian,Male,40-90,Observed,independent_segment,10,70.0,80.0,39,-0.4129604737409031,27.39601678757555,-0.24485636913549874
